name,mrp,discountPercent
"Dhara Kachi Ghani Mustard Oil Jar",1250.00,8
"Saffola Gold (Jar)",1240.00,0
"Dhara Filtered Groundnut Oil (Jar)",1050.00,1
"Fortune Rice Bran Health Oil (Jar)",1050.00,1
"Dhara Filtered Groundnut Oil (Jar)",1050.00,0
"Fortune Soyabean Oil",1005.00,0
"Fortune Sunlite Refined Sunflower (Jar)",925.00,0
"Surf Excel Matic Powder Front Load ",810.00,7
"Surf Excel Matic Top Load",720.00,9
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",690.00,6
"Pedigree Dog Food Adult Meat & Rice",660.00,7
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",650.00,8
"Nestle Nestle Nan Pro Follow-Up Formula",650.00,0
"Dove Daily Shine Shampoo",645.00,5
"L'Oreal Paris Excellence Creme Hair Color, 1 Black",620.00,0
"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",620.00,0
"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",620.00,0
"L'Oreal Paris Excellence Creme Hair Color, 4.25 Aishwarya's Brown",620.00,0
"Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ",620.00,0
"Pediasure Premium Chocolate Powdered Health Drink",610.00,0
"Surf Excel Quick Wash",600.00,8
"Gowardhan Ghee Jar",598.00,3
"Organic India Apple Cider Vinegar",595.00,9
"Bagrry's Fruit Fibre Muesli Mixed Fruit ",595.00,0
"Bagrrys Fruit N Fibre Muesli - Strawberry",595.00,0
"Patanjali Cow's Ghee",565.00,0
"Sunsilk Lusciously Thick & Long Shampoo",555.00,6
"Sunsilk Stunning Black Shine Shampoo",555.00,6
"Whisper Ultra Soft XL+ Sanitary Pads",555.00,0
"Kellogg's Real Almond & Honey Corn Flakes",550.00,5
"L'Oreal Casting Creme Ebony Black Hair Color",550.00,0
"L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400)",550.00,0
"L'Oreal Paris Casting Creme Gloss Hair Color, Medium Brown 500",550.00,0
"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",550.00,0
"L'Oreal Paris Shine Masque Royal Jelly Hair Colour",550.00,0
"Surf Excel Matic Front Load Detergent Powder",530.00,4
"Amul Ghee (Tin)",520.00,2
"Fresh Mutton Mince - Kheema (Halal)",515.00,3
"Amul Pure Ghee (Pouch)",505.00,1
